------------------------------------------------------------
 Current - Vg = 0 V
------------------------------------------------------------
Voltage (V), Current (A)
                   0,       2.18674744e-12
                0.05,       4.46406857e-06
                 0.1,       7.06838524e-06
                0.15,       8.19132688e-06
                 0.2,       8.47596984e-06
                0.25,       8.55896923e-06
                 0.3,       8.62011188e-06
                0.35,       8.67102372e-06
                 0.4,       8.71479802e-06
                0.45,       8.75384985e-06
                 0.5,       8.78905646e-06
                0.55,       8.82126983e-06
                 0.6,       8.85102433e-06
                0.65,       8.87865027e-06
                 0.7,       8.90447874e-06
               0.725,        8.9168171e-06
                0.75,       8.92881682e-06
                 0.8,       8.95186502e-06
                0.85,       8.97378759e-06
                 0.9,       8.99470744e-06
                0.95,       9.01471757e-06
                   1,       9.03390696e-06
                1.05,       9.05234843e-06
                 1.1,       9.07008344e-06
                1.15,       9.08716107e-06
                 1.2,       9.10355553e-06
                1.25,       9.11940123e-06
                 1.3,       9.13475756e-06
                1.35,       9.14965365e-06
                 1.4,        9.1641572e-06
                1.45,       9.17827081e-06
                 1.5,       9.19199115e-06
                1.55,       9.20538574e-06
                 1.6,       9.21846713e-06
                1.65,       9.23122317e-06
                 1.7,       9.24372406e-06
                1.75,       9.25595304e-06
                 1.8,       9.26789116e-06
                1.85,       9.27959702e-06
                 1.9,       9.29104167e-06
                1.95,        9.3022773e-06
                   2,       9.31329749e-06

------------------------------------------------------------
 Current - Vg = 1.0 V
------------------------------------------------------------
Voltage (V), Current (A)
                   0,       4.74022534e-12
                0.05,       3.43039483e-05
                 0.1,       6.73739183e-05
                0.15,        9.9119815e-05
                 0.2,       0.000129453194
                0.25,       0.000158287211
                 0.3,       0.000185536373
                0.35,       0.000211116102
               0.375,       0.000223253585
                 0.4,       0.000234942053
               0.425,       0.000246170788
                0.45,       0.000256928925
               0.475,       0.000267205398
                 0.5,       0.000276988789
               0.525,       0.000286267319
              0.5375,       0.000290713061
                0.55,       0.000295028044
              0.5625,       0.000299210375
               0.575,       0.000303258345
                 0.6,       0.000310943842
               0.625,       0.000318069116
              0.6375,       0.000321416439
                0.65,       0.000324617202
              0.6625,       0.000327669005
               0.675,       0.000330569261
              0.6875,        0.00033331526
                 0.7,       0.000335904153
              0.7125,       0.000338332968
               0.725,       0.000340598525
                0.75,       0.000344627815
              0.7625,       0.000346386081
               0.775,       0.000347971124
              0.7875,       0.000349383436
                 0.8,       0.000350626896
              0.8125,       0.000351710654
               0.825,       0.000352650382
              0.8375,       0.000353467658
                0.85,       0.000354186602
                 0.9,       0.000356450497
              0.9125,       0.000356912759
               0.925,       0.000357343859
              0.9375,       0.000357748253
                0.95,       0.000358129972
               0.975,       0.000358837478
              0.9875,       0.000359167621
                   1,       0.000359484157
              1.0125,        0.00035978823
               1.025,        0.00036008082
              1.0375,       0.000360362726
                1.05,       0.000360634656
              1.0625,       0.000360897309
               1.075,       0.000361151333
              1.0875,       0.000361397323
                 1.1,       0.000361635827
              1.1125,       0.000361867372
               1.125,       0.000362092425
              1.1375,       0.000362311369
                1.15,       0.000362524563
                 1.2,       0.000363326344
              1.2125,       0.000363515351
               1.225,       0.000363700167
              1.2375,       0.000363881047
                1.25,       0.000364058146
              1.2625,       0.000364231631
               1.275,       0.000364401658
              1.2875,       0.000364568397
                 1.3,       0.000364731939
              1.3125,       0.000364892466
               1.325,       0.000365050056
              1.3375,       0.000365204855
                1.35,       0.000365357008
              1.3625,       0.000365506587
               1.375,       0.000365653752
              1.3875,       0.000365798559
                 1.4,       0.000365941127
              1.4125,       0.000366081502
               1.425,       0.000366219769
              1.4375,       0.000366356057
                1.45,       0.000366490359
              1.4625,       0.000366622737
               1.475,       0.000366753283
              1.4875,       0.000366882075
                 1.5,        0.00036700909
              1.5125,       0.000367134424
               1.525,       0.000367258123
              1.5375,       0.000367380215
                1.55,       0.000367500775
              1.5625,       0.000367619815
               1.575,       0.000367737428
              1.5875,       0.000367853611
                 1.6,       0.000367968404
              1.6125,       0.000368081852
               1.625,       0.000368194007
              1.6375,       0.000368304884
                1.65,        0.00036841452
              1.6625,       0.000368522952
               1.675,       0.000368630217
              1.6875,       0.000368736316
                 1.7,       0.000368841304
              1.7125,       0.000368945187
               1.725,       0.000369048028
              1.7375,       0.000369149826
                1.75,       0.000369250588
              1.7625,       0.000369350384
               1.775,       0.000369449206
              1.7875,       0.000369547081
                 1.8,       0.000369644049
              1.8125,       0.000369740093
               1.825,       0.000369835268
              1.8375,       0.000369929566
                1.85,       0.000370023037
              1.8625,       0.000370115672
               1.875,       0.000370207502
              1.8875,       0.000370298525
                 1.9,       0.000370388778
              1.9125,       0.000370478271
               1.925,       0.000370567009
              1.9375,       0.000370655028
                1.95,       0.000370742333
              1.9625,       0.000370828907
               1.975,       0.000370914813
              1.9875,       0.000371000031
                   2,       0.000371084584

------------------------------------------------------------
 Current - Vg = 2.0 V
------------------------------------------------------------
Voltage (V), Current (A)
                   0,       5.37309514e-12
                0.05,       4.97001053e-05
                 0.1,       9.86554225e-05
                0.15,       0.000146785154
                 0.2,       0.000194011032
                0.25,       0.000240257798
               0.275,       0.000262991429
                 0.3,        0.00028545358
              0.3125,       0.000296580226
               0.325,       0.000307635865
              0.3375,       0.000318619487
                0.35,       0.000329530093
               0.375,       0.000351128328
              0.3875,       0.000361816988
                 0.4,       0.000372495259
              0.4125,       0.000383490059
               0.425,       0.000476640729
              0.4375,       0.000404010296
             0.44375,       0.000408935153
                0.45,       0.000414071156
             0.45625,       0.000419186815
              0.4625,       0.000424282027
             0.46875,       0.000429356679
