------------------------------------------------------------
 Current - Vd = 0.1 V
------------------------------------------------------------
Voltage (V), Current (A)
                  -1,       4.97257553e-11
               -0.95,       3.41079118e-11
                -0.9,       3.87655061e-11
               -0.85,       6.89265732e-11
                -0.8,       6.71557511e-11
               -0.75,       6.86094475e-11
                -0.7,       5.49396455e-11
               -0.65,       8.18196442e-11
                -0.6,        8.3391312e-11
               -0.55,       8.72362359e-11
                -0.5,       7.33341542e-11
               -0.45,       9.23385556e-11
                -0.4,       1.63675111e-10
               -0.35,       4.77303399e-10
                -0.3,       2.44609505e-09
               -0.25,       1.43794907e-08
                -0.2,       8.53640146e-08
               -0.15,       4.34180531e-07
                -0.1,       1.56943407e-06
               -0.05,        3.8566638e-06
                   0,        7.0630713e-06
                0.05,       1.07136062e-05
                 0.1,       1.45006874e-05
                0.15,       1.82806513e-05
                 0.2,       2.19899637e-05
                0.25,       2.56006285e-05
                 0.3,        2.9101364e-05
                0.35,       3.24885391e-05
                 0.4,       3.57624372e-05
                0.45,       3.89251084e-05
                 0.5,       4.19796561e-05
                0.55,       4.49293595e-05
                 0.6,       4.77781571e-05
                0.65,        5.0529368e-05
                 0.7,       5.31867097e-05
                0.75,       5.57536231e-05
                 0.8,       5.82333458e-05
                0.85,        6.0629336e-05
                 0.9,       6.29446159e-05
                0.95,       6.51822239e-05
                   1,       6.73452874e-05
                1.05,       6.94363259e-05
                 1.1,       7.14583076e-05
                1.15,       7.34137791e-05
                 1.2,       7.53052587e-05
                1.25,        7.7135252e-05
                 1.3,       7.89061447e-05
                1.35,       8.06202272e-05
                 1.4,       8.22795758e-05
                1.45,       8.38863806e-05
                 1.5,       8.54426668e-05
                1.55,        8.6950315e-05
                 1.6,       8.84114379e-05
                1.65,       8.98275069e-05
                 1.7,        9.1200479e-05
                1.75,       9.25319356e-05
                 1.8,       9.38234683e-05
                1.85,       9.50765579e-05
                 1.9,       9.62928879e-05
                1.95,       9.74735508e-05
                   2,       9.86201657e-05
                2.05,         9.973383e-05
                 2.1,       0.000100815882
                2.15,       0.000101867461
                 2.2,       0.000102889712
                2.25,       0.000103883814
                 2.3,       0.000104850699
                2.35,       0.000105791297
                 2.4,       0.000106706711
                2.45,       0.000107597865
                 2.5,       0.000108465515

------------------------------------------------------------
 Current - Vd = 1.0 V
------------------------------------------------------------
Voltage (V), Current (A)
                  -1,      -1.71125742e-11
               -0.95,        3.8916037e-11
                -0.9,      -3.43010702e-11
               -0.85,       1.27577496e-11
                -0.8,       6.84407828e-11
               -0.75,      -2.05697762e-11
                -0.7,       3.62086202e-11
               -0.65,       3.34173628e-11
                -0.6,       4.59213983e-11
               -0.55,       4.34835553e-11
                -0.5,       4.55596589e-11
               -0.45,       6.79404968e-11
                -0.4,       1.77804595e-10
               -0.35,        5.2647359e-10
                -0.3,       2.71457563e-09
               -0.25,       1.54035362e-08
                -0.2,       9.16945793e-08
               -0.15,       4.70645276e-07
                -0.1,       1.73729281e-06
               -0.05,       4.49458344e-06
                   0,        9.0200816e-06
                0.05,       1.53544623e-05
                 0.1,       2.34347136e-05
                0.15,       3.31597057e-05
                 0.2,       4.44160762e-05
                0.25,       5.70914703e-05
                 0.3,       7.10772874e-05
                0.35,       8.62722052e-05
                 0.4,       0.000102582025
                0.45,       0.000119918841
                 0.5,       0.000138201255
                0.55,       0.000157353059
                 0.6,       0.000177303395
                0.65,        0.00019798581
                 0.7,       0.000219337438
                0.75,       0.000241298883
                 0.8,       0.000263813202
                0.85,        0.00028682594
                 0.9,       0.000310282863
                0.95,       0.000334130317
                   1,       0.000358313183
                1.05,       0.000382774065
                 1.1,       0.000407447737
                1.15,       0.000432255208
                 1.2,       0.000457096502
                1.25,       0.000481822303
                 1.3,       0.000506202315
                1.35,       0.000529955392
                 1.4,        0.00055291386
                1.45,       0.000575046216
                 1.5,       0.000596379811
                1.55,       0.000616954635
                 1.6,       0.000636811549
                1.65,       0.000655987204
                 1.7,       0.000674515376
                1.75,       0.000692426442
                 1.8,       0.000709748618
                1.85,       0.000726507331
                 1.9,       0.000742726877
                1.95,       0.000758429714
                   2,       0.000773636556
                2.05,        0.00078836795
                 2.1,       0.000802642857
                2.15,       0.000816478853
                 2.2,       0.000829893747
                2.25,       0.000842903595
                 2.3,       0.000855524125
                2.35,       0.000867770162
                 2.4,        0.00087965653
                2.45,        0.00089119645
                 2.5,       0.000902403225

