------------------------------------------------------------
 Current - Vd = 0.05 V
------------------------------------------------------------
Voltage (V), Current (A)
                -0.4,       2.74548396e-12
        -0.360606061,       5.92383734e-12
        -0.321212121,       1.39870126e-11
        -0.281818182,       3.58605282e-11
        -0.242424242,       9.76753528e-11
        -0.203030303,       2.76036376e-10
        -0.163636364,        7.9973467e-10
        -0.124242424,       2.38617816e-09
       -0.0848484848,       7.27631147e-09
       -0.0454545455,       2.23967922e-08
      -0.00606060606,       6.89572607e-08
        0.0333333333,       2.10551986e-07
        0.0727272727,       6.29444596e-07
         0.112121212,       1.79959785e-06
         0.151515152,       4.72680244e-06
         0.190909091,       1.08454001e-05
          0.23030303,       2.10300472e-05
          0.26969697,       3.46361304e-05
         0.309090909,       5.00091345e-05
         0.348484848,       6.56232736e-05
         0.387878788,       8.05621277e-05
         0.427272727,       9.44215767e-05
         0.466666667,       0.000107093522
         0.506060606,       0.000118611821
         0.545454545,       0.000129068294
         0.584848485,       0.000138571956
         0.624242424,       0.000147230642
         0.663636364,       0.000155143574
         0.703030303,       0.000162398985
         0.742424242,       0.000169074034
         0.781818182,       0.000175235666
         0.821212121,       0.000180941781
         0.860606061,       0.000186242439
                 0.9,       0.000191180972
         0.939393939,       0.000195794985
         0.978787879,       0.000200117187
          1.01818182,        0.00020417613
          1.05757576,       0.000207996812
           1.0969697,       0.000211601183
          1.13636364,       0.000215008605
          1.17575758,       0.000218236193
          1.21515152,       0.000221299125
          1.25454545,       0.000224210911
          1.29393939,       0.000226983612
          1.33333333,       0.000229628021
          1.37272727,       0.000232153828
          1.41212121,       0.000234569754
          1.45151515,       0.000236883668
          1.49090909,        0.00023910269
          1.53030303,       0.000241233278
          1.56969697,       0.000243281301
          1.60909091,       0.000245252105
          1.64848485,       0.000247150573
          1.68787879,       0.000248981169
          1.72727273,       0.000250747988
          1.76666667,       0.000252454789
          1.80606061,       0.000254105032
          1.84545455,         0.0002557019
          1.88484848,       0.000257248338
          1.92424242,       0.000258747071
          1.96363636,       0.000260200622
           2.0030303,       0.000261611331
          2.04242424,       0.000262981373
          2.08181818,       0.000264312769
          2.12121212,       0.000265607403
          2.16060606,       0.000266867035
                 2.2,       0.000268093305
          2.23939394,       0.000269287751
          2.27878788,       0.000270451809
          2.31818182,        0.00027158683
          2.35757576,       0.000272694077
           2.3969697,       0.000273774741
          2.43636364,       0.000274829936
          2.47575758,       0.000275860718
          2.51515152,       0.000276868081
          2.55454545,        0.00027785296
          2.59393939,       0.000278816241
          2.63333333,       0.000279758759
          2.67272727,       0.000280681304
          2.71212121,       0.000281584626
          2.75151515,       0.000282469434
          2.79090909,         0.0002833364
          2.83030303,        0.00028418616
          2.86969697,       0.000285019322
          2.90909091,       0.000285836465
          2.94848485,       0.000286638135
          2.98787879,       0.000287424856
          3.02727273,       0.000288197125
          3.06666667,       0.000288955415
          3.10606061,       0.000289700178
          3.14545455,       0.000290431844
          3.18484848,       0.000291150825
          3.22424242,       0.000291857518
          3.26363636,       0.000292552298
           3.3030303,       0.000293235526
          3.34242424,       0.000293907547
          3.38181818,       0.000294568692
          3.42121212,       0.000295219276
          3.46060606,       0.000295859603
                 3.5,       0.000296489965

------------------------------------------------------------
 Current - Vd = 1.0 V
------------------------------------------------------------
Voltage (V), Current (A)
                -0.1,        4.4461081e-08
                -0.2,       4.05880099e-09
              -0.225,       2.39721919e-09
            -0.23125,       2.11193691e-09
          -0.2328125,       2.04670741e-09
         -0.23359375,       2.01495243e-09
           -0.234375,       1.98372974e-09
          -0.2359375,       1.92291409e-09
             -0.2375,       1.86417771e-09
          -0.2390625,       1.80746651e-09
           -0.240625,       1.75265779e-09
            -0.24375,       1.64858381e-09
               -0.25,       1.46055879e-09
           -0.253125,       1.37565877e-09
         -0.25390625,       1.35531492e-09
        -0.254296875,       1.34526936e-09
          -0.2546875,        1.3353066e-09
         -0.25546875,       1.31562399e-09
        -0.255859375,       1.30590754e-09
            -0.25625,       1.29626771e-09
        -0.256640625,       1.28670994e-09
        -0.256835937,       1.28195582e-09
         -0.25703125,       1.27722723e-09
        -0.257226562,       1.27252146e-09
        -0.257421875,       1.26782465e-09
          -0.2578125,       1.25850535e-09
         -0.25859375,       1.24008177e-09
         -0.26015625,        1.2041505e-09
             -0.2625,       1.15241221e-09
          -0.2671875,       1.05623781e-09
          -0.2765625,       8.89709359e-10
          -0.2953125,       6.37889135e-10
                -0.3,       5.88197146e-10
           -0.309375,       5.01338317e-10
           -0.328125,       3.67546456e-10
           -0.346875,       2.72473435e-10
            -0.35625,       2.35501673e-10
        -0.357421875,       2.31297469e-10
        -0.358007812,       2.29217878e-10
        -0.358300781,       2.28181759e-10
        -0.358447266,       2.27666902e-10
         -0.35859375,       2.27160984e-10
        -0.358740234,       2.26651427e-10
        -0.358813477,       2.26397192e-10
        -0.358886719,       2.26137652e-10
        -0.359033203,       2.25632664e-10
        -0.359326172,       2.24621661e-10
        -0.359472656,       2.24114396e-10
        -0.359619141,       2.23609758e-10
        -0.359912109,       2.22609403e-10
        -0.360205078,       2.21606931e-10
         -0.36027832,       2.21370478e-10
        -0.360351562,       2.21117687e-10
        -0.360498047,       2.20618106e-10
        -0.360791016,       2.19634519e-10
          -0.3609375,       2.19137224e-10
        -0.361230469,       2.18159795e-10
        -0.361816406,       2.16213716e-10
        -0.362109375,       2.15251986e-10
        -0.362402344,       2.14294115e-10
        -0.362988281,        2.1237885e-10
        -0.364160156,       2.08622555e-10
           -0.365625,       2.04030723e-10
        -0.365808105,       2.03463921e-10
        -0.365991211,       2.02899995e-10
        -0.366357422,       2.01775342e-10
        -0.367089844,       1.99542075e-10
        -0.368554687,       1.95163143e-10
        -0.371484375,       1.86740659e-10
         -0.37166748,       1.86222371e-10
        -0.371850586,       1.85711588e-10
        -0.372216797,       1.84692706e-10
        -0.372949219,       1.82669512e-10
        -0.374414063,       1.78712969e-10
         -0.37734375,        1.7104769e-10
        -0.380273438,       1.63759373e-10
        -0.381738281,       1.60240612e-10
        -0.381921387,       1.59806776e-10
        -0.382104492,       1.59369354e-10
        -0.382470703,       1.58513748e-10
        -0.383203125,        1.5680701e-10
        -0.384667969,        1.5345439e-10
        -0.387597656,       1.46980635e-10
        -0.393457031,        1.3491029e-10
                -0.4,       1.22710169e-10
        -0.398768939,       1.24915166e-10
        -0.397537879,       1.27156733e-10
        -0.395075758,        1.3177552e-10
        -0.390151515,       1.41587568e-10
        -0.385227273,       1.52190259e-10
        -0.382765152,       1.57824631e-10
        -0.382149621,       1.59272334e-10
        -0.381841856,        1.6000463e-10
        -0.381764915,       1.60180824e-10
        -0.381687973,       1.60355194e-10
        -0.381534091,       1.60722474e-10
        -0.381226326,       1.61456237e-10
        -0.380610795,       1.62938133e-10
         -0.38030303,       1.63684663e-10
          -0.3796875,       1.65184868e-10
        -0.378456439,       1.68239719e-10
        -0.375994318,       1.74531801e-10
        -0.373532197,       1.81079263e-10
        -0.372301136,       1.84466276e-10
        -0.371685606,       1.86173846e-10
        -0.371608665,       1.86385007e-10
        -0.371531723,       1.86602343e-10
        -0.371377841,       1.87041685e-10
        -0.371070076,        1.8790447e-10
        -0.370454545,       1.89651561e-10
        -0.369223485,       1.93211185e-10
        -0.366761364,       2.00540431e-10
        -0.366145833,       2.02426313e-10
        -0.365838068,       2.03372358e-10
        -0.365684186,       2.03838269e-10
        -0.365607244,       2.04086443e-10
        -0.365530303,        2.0432615e-10
        -0.365453362,        2.0456528e-10
         -0.36537642,       2.04801995e-10
        -0.365222538,       2.05275158e-10
